interactive_websites;Interactive;🌍
merch;Merchandise;
top_resources;Top Resources;⭐
war_diaries;War Diaries;📖
guides;Guides
top_youtube_channels;YT Channels;📺
authours;Authours;✍️
researchers;Researchers;🔍
museums;Museums;🏛️
maps;WWII Maps;🗺️
social_media;Top Social Media;📘
twitter;twitter;🐦
facebook;facebook
discord;discord;🎮
resources;Resources;📂
